,log_revenue
1733,18.461398835474892
1143,19.02659724347731
323,19.208461389032852
1226,19.36174715618618
3013,15.201805169084134
1231,18.07832190523624
760,19.084237931934354
3176,17.761970013037892
2740,14.648420115681892
1647,17.02652072952832
996,17.72753358339242
2975,14.998337148786192
600,18.91904199314391
401,19.70920868392545
2536,16.454567959008102
2477,13.082197417646205
1330,17.917729717336087
2011,15.86963441986494
2651,16.70509834196653
1926,18.477387649766793
3091,15.88237344401952
2212,17.354058106442366
1579,18.842202655516655
293,18.88273927558276
174,18.17292203517306
245,19.99877831029767
442,19.839215190527025
233,19.60409698754572
1985,16.74702090026083
3007,16.300417291085605
1202,19.35337582964417
2263,17.36140611352227
3295,13.956429222382813
961,18.670569987139285
1138,18.621169612885076
3501,17.761970013037892
2450,18.339680113450555
1720,18.624803101931334
3695,17.761970013037892
1842,18.72933699246312
2759,17.909855136853043
1178,19.04855182476383
2887,17.761970013037892
3217,17.761970013037892
2256,17.461159598811122
778,18.53707182462208
3125,17.136008419076312
2648,16.73965472030809
1811,15.83887488051422
1879,18.64314280710626
3493,15.228713610941377
2860,13.083231620294342
2363,16.425353266100995
2366,18.004821240809125
1302,18.760509818654416
3796,16.451721268372246
1477,18.380354813871797
1808,18.000697348696555
580,18.788740451829273
2725,18.078190449090098
27,20.261487314180027
1824,18.253464706175503
1123,17.034386422832473
1126,18.71634922249418
1839,18.459434636623456
3314,16.533920313107114
1075,19.09227674208423
2322,15.407135965494298
134,16.38751199098573
3139,16.742066318170178
3077,17.137957582619023
3074,17.761970013037892
227,19.7984387765714
1169,18.389086862040205
2316,17.24910078043668
1886,18.04536155695986
327,19.732663656064677
2229,17.97839366181448
